Street Name,lights
AVAIYAR STREET,5

SARATHA GARDEN,9

KAPPINIKAVU LAYOUT,4

NANDHAVANA THOTTAM,7

THIRUVALLUR ROAD,4

SANKARALINGAM ROAD,47

VASUKI STREET,10

KAKKAN STREET 5,1

KAKKAN STREET 4,1

KAKKAN STREET 2,2

CHERAN STREET,1

ELANGO STREET,3

VELLINGIRI LAYOUT,3

VEERA SIVAJI STREET,2

KALKI STREET,13

ARANMANAI THOTTAM,9

RAMANA GOUNDER LAYOUT,10

MANIKKA VASAGA NAGAR,39

ANNAIAPPAN STREET,100

VIJAYA NAGAR ROAD,9

SRINIVASALU NAGAR,5

ANBU NAGAR,8

VIJAYA NAGAR,10

VOC  NAGAR,19

RATHINAM NAGAR,15

RAJU NAGAR,7

ELLAI THOTTAM MAIN ROAD,18

RANGAVILAS NAGAR,7

ASP ROAD,7

ELLAI THOTTAM ROAD,20

RAYAPPAN STREET,10

V.O.C COLONY,8

V.O.C COLONY RAYAPPAN STREET,2

NEHRU NAGAR SECOND STREET,8

CHENGALIAPPAN NAGAR,52

JAI NAGAR,14

KARUPPANA LAYOUT,31

NEEM LANE,2

RAJA NAIDU LAYOUT,16

SENGALIAPPAN LAYOUT,53

NEHRU NAGAR CROSS ROAD,6

A.D COLONY,40

MARVGUTHAYAMMAL,12

TULAK VENGADESH STREET,8

AYYAL NEDAI STREET,6

BALA GURU GARDEN,28

P.R QUARTERS ROAD,6

NALLAMPALAYAM ROAD,113

OM NAGAR,12

ARUNA NAGAR,2

SABARI GARDEN,36

TEYMAYAN STREET,33

RAMACHANDRAN STREET,3

KARNAM SUBRAMANIAM STREET,3

SUGUNA NAGAR,8

SENNIAPPAN STREET,7

GANESH LAYOUT,50

RAILWAY MENS COLONY,5

KATTU KARUPPARAYAN KOVIL  STREET,9

AMIRTHA AVENUE,33

M B C NAGAR,10

MARUTHAM NAGAR,9

GANAPATHIYAPPAN STREET,22

PALANIYAPPAN STREET,1

THALIVAR RAMASAMY STREET,2

EDUMBAN STREET,7

RANGA LAYOUT,62

RANGA LAYOUT 1,4

MAMARA THOTTAM,18

SUBBIAN STREET,6

ANBRASE STREET-1,9

VELLAPPAN STREET,9

THIYAGI NGR STREET,4

MANIKKAM STREET,5

VENKATESA NAGAR,16

RAMANATHAN STREET,4

C P SRINIVASAN STREET,6

MUTHUSAMY STREET,2

V K C NATARAJAN STREET,7

JAYANTHI NAGAR,5

THIRUMALAI SAMY STREET,17

BANGO STREET,29

KARUPPARAYAN KOVIL STREET,59

KANNUSAMY GOUNDER STREET,15

KANDHASAMY GOUDER STREET,15

SIVANAPURIAMMAN NAGAR,38

SRIYAS LAYOUT,9

PUTHUTHOTTAM STREET,86

MANIS NAGAR,37

THAIR ITTERI ROAD,3

SANGANUR ROAD,38

RASIYAPPAN STREET,12

LAKSHMANAN STREET,15

SARASWATHY STREET,5

THANDAL MUTHAN STREET,1

VENKATASAMY STREET,9

KARUPPUSAMY NAGAR,3

POONTHOTTAM,26

KALLUKATI THOTTAM,5

MAMARATHOTTAM STREET 3,4

GOPAL SWAMY KOVIL STREET,16

NATEISAR STREET,3

PANDIYAN STREET,2

THASAR STREET,2

JAYAPRAKASH NAGAR MAIN ROAD,12

JAYAPRAKASH NAGAR 2,5

MAMARATHOTTAM STREET 2,6

MAMARATHOTTAM STREET,6

MAMARATHOTTAM STREET 1,4

KAPPINIYAPPAN STREET,4

THILAGAR STREET,3

PONNIYAR STREET,2

VINO BAJI STREET,2

NALLA THANNER THOTTAM,3

SIDDHA THOTTAM STREET,15

NADU VALAVU LANE,9

VADAKKU THOTTAM,2

KANNAKI STREET,1

MANTHIRIYAPPAN STREET,2

INDIRA NEHRU STREET,3

KASTHURIBAI 2ND STREET,2

KAMALA NEHRU STREET,5

KASTHURIBAI 1ST STREET,13

OLD SAKTHY ROAD,5

KASTHURIBAI 3RD STREET,7

ARUNASALAM STREET,2

MANAL THOTTAM,4

KASTHURIBAI 4TH STREET,9

MOOKAMBIKA NAGAR,46

KRISHNARAJ COLONY,6

AMBEDKAR STREET,3

RAJA NAIDU STREET,19

JAYAPRAKASH NAGAR,29

JAYAPRAKASH NAGAR 1,8

P N P ROAD,82

PALANI ANDAVAR KOVIL STREET,21

SIVASAKTHI COLONY,18

GANAPATHY NAGAR,18

CHINNASWAMY STREET,13

KATTABOMMAN STREET,98

MARUTHAIYA NAGAR,14

VELAN NAGAR,9

GANAPATHY GARDEN,13

MEENAKSHI NAGAR,14

VAZHAI THOTTAM,2

GANAPATHY PUDUR STREET 3,23

GANAPATHY PUDUR STREET 1,9

GANAPATHY PUDUR STREET 2,12

GANAPATHY PUDUR STREET 4,11

GANAPATHY PUDUR STREET,26

GANAPATHY PUDUR STREET 5,11

GANAPATHY PUDUR STREET 6,16

GANAPATHY PUDUR STREET 7,13

GANAPATHY PUDUR STREET 9,8

GANAPATHY PUDUR STREET 8,39

DHARANI NAGAR,5

DEVAPURAM,19

JAYA PRAKASH STREET,7

VIJAYALAKSHMI LAYOUT 1,9

VIJAYALAKSHMI LAYOUT,2

VIJAYALAKSHMI LAYOUT 2,6

GANESH LAYOUT 3,10

GANESH LAYOUT 6,17

GANESH LAYOUT 8,19

GANESH LAYOUT 7,10

GANAPATHY PUDUR STREET 10,5

ATHANUR AMMAN KOVIL STREET,1

GANESH LAYOUT 5,4

SUNDHAR STREET,2

BHAGAT SINGH STREET,1

NALLIA MUTHALIYAR ROAD,3

GANESH LAYOUT 4,8

GANESH LAYOUT 9,5

PARAMESWARAN LAY OUT 2,2

PARAMESWARAN LAY OUT,8

NEW CHITRAMBALAM LAY OUT,16

LAXMANAPURAM,14

LAKSHMIPURAM ROAD,3

P N PALAYAM ROAD,3

JAYASIMMAPURAM,31

KANDHASAMY LAY OUT,16

NEW SCHEME ROAD,2

SRI RAMAPURAM,1

VENUGOPAL LAY OUT,9

PAPPAMMAL LAY OUT,5

RANGAMMAL STREET,6

SIRU KALIYAMMAN KOVIL STREET,6

LONDON MISSION SCHOOL ROAD,10

ASHOKAR STREET,8

KATTUR ROAD,25

KAVARI LANE,7

RANGASAMY THOTTA SALAI,3

RAMASAMY THOTTA SALAI,2

GOVINDASAMY THOTTA SALAI,3

BALASUNDARAM ROAD,4

L M L COLONY,12

OLD DHAMU NAGAR,17

PULIYAKULAM MAIN ROAD,19

SRI RAMAPURAM CROSS,1

ARUNDHATHIYAR STREET,3

DHANDAPANI STREET,1

LAKSHMI MILL COLONY,3

LAKSHMI MILL CO-OP BUILDING SOCIETY,16

G K D NAGAR,9

KUPPANNAN STREET,2

NEW DHAMU NAGAR,13

NAVY QUATERS,2

PERA STREET-II,2

N G RAMASAMY ROAD,4

M.K.STREET,3

SUBARAMANIYA UDAIYAR STREET,21

THIRU VENKADAM NAGAR,12

SAKTHI VINAYAGAR KOVIL STREET,3

NEDUNCHEZHIAN  STREET,4

T G RAMASAMY STREET,3

RAJ NAGAR,9

SAROJINI NAGAR,2

SAROJINI NAGAR 4,2

LIC EXTENSION,13

NEHRU COLONY,3

L I C COLONY,23

C G V NAGAR,11

PERUR MAIN ROAD,59

SAROJINI NAGAR 5,1

THILLAI NAGAR,20

VENKATESHWARA LAYOUT,1

V O C MAIN ROAD,8

MUTHUSAMY COLONY,24

MUTHUSAMY COLONY 1,6

V O C NORTH SOUTH STREET,4

S A GARDEN,15

RAJESWARI STREET,9

MUTHUSAMY COLONY 3,4

JAYALAKSHMI NAGAR,8

BHARATHI ROAD,12

JOSIYAR KARAMADAI STREET,3

MUTHU MARIAMMAN KOVIL STREET,2

V O C EAST WEST STREET 1,2

V O C EAST WEST STREET 3,3

TELUGU PALAYAM MAIN ROAD,18

MUTHAIYA UDAIYAR STREET,2

VAITHIYAR ARUMUGAM UDAIYAR STREET,3

PUDHU COLONY,11

RAJARAJESWARI STREET,6

VEDAPATTI ROAD,5

TEXTOOL COLONY,15

RAJEEV NAGAR,7

ANNAI NAGAR,1

NARAYANASAMY NAGAR,11

CHIDAMBARAM COLONY,5

PANAI MARATHUR ROAD,9

PRIYA NAGAR,42

C P M NAGAR,2

KALAINGAR NAGAR,6

DHANALAKSHMI GARDEN MAIN ROAD,3

DHANALAKSHMI GARDEN STREET 2,2

DHANALAKSHMI GARDEN STREET 1,2

ANNA PATHAI,1

MUTHUSAMY COLONY SOUTH NORTH STREET,8

MUTHUSAMY COLONY 2,7

DURGA GARDEN ROAD,4

MUNIAPPA NAGAR,14

SASTHA NAGAR,8

RANGAPPA LAYOUT,6

ARUL GARDEN,33

CHOZAN NAGAR,2

PANDIAN NAGAR,7

SHANMUGARAJAPURAM,28

NORTH HOUSING UNIT,79

VELLAPPA GOUNDER THOTTAM STREET,1

CHOKKAM PUDUR ROAD,20

VALLEYAMAL NAGAR,5

RAJAVENUE,4

RAJARATHINAM NAGAR,21

AMULU NAGAR,18

INDHRA NAGAR 2ND STREET,2

N.S.K STREET,21

RANGASAMY STREET,10

PERIYA THAMBI NAGAR,6

RAMAMOORTHY ROAD,25

RAMAMOORTHY STREET,5

NANJAPPA STREET 2,6

NANJAPPA STREET 1,6

SOKKAMPUTHUR ROAD,2

AYYAVUPANNADIES STREET,22

BRIGHT GARDEN,5

KARAUPPANNAN STREET,16

JEEVA PATHAI,12

ANNAI INDRA NAGAR,42

MASANI AMMAN KOVIL STREET,3

SOMAYANOOR ROAD,2

EB COLONY,26

SRS LAYOUT,7

BALAJI NAGAR SECOND CROSS STREET,6

BALAJI NAGAR FIRST STREET,4

SUNDAKKA MUTHUR ROAD,30

SELVAPURAM NORTH,36

DEVENDRAN STREET,17

SELVAPURAM MAIN ROAD,18

SELVAPURAM ROAD,36

IUDP COLONY ROAD,5

KALLAMEDU ROAD,15

SELVAPURAM SOUTH,9

RAJESHWARI NAGAR,26

THIRU NAGAR FIRST STREET,2

NORTH HOUSING UNIT 6TH CROSS STREET,3

NORTH HOUSING UNIT 7TH CROSS STREET,5

IUDP COLONY EAST STREET,6

IUDP COLONY HOUSING UNIT,4

CHANDRASEKAR PURAM,7

NORTH HOUSING UNIT 5TH CROSS STREET,2

KARUPURAYAR STREET,3

AADHI SAKTHI NAGAR,1

LAWLY ROAD,41

BRINDA LAYOUT,26

SINDHU NAGAR,1

RAMAKRISHNA PURAM STREET 2,8

RAMAKRISHNA PURAM STREET 4,2

RAMAKRISHNA PURAM,15

NANJAPPAN GARDEN,2

SAMY IYER NEW STREET,22

SAMY IYER STREET,2

SOKKAM PUDHUR ROAD,30

KRISHNA STREET,22

EDAYAR STREET,2

RAJAMMAL LAYOUT,14

AA SCHEME ROAD,19

P M SAMY COLONY 1,14

RAMAKRISHNA PURAM STREET 1,3

RAMAKRISHNA PURAM STREET 3,5

PONNAIYARAJAPURAM,16

PONNAIYARAJAPURAM ROAD 2,1

PONNAIYARAJAPURAM ROAD 4,2

GOPAL LAYOUT,9

SRI NAGAR ROAD,7

GOPAL LAYOUT(LEELA APPARTMENT),5

SRI SHANMUGA NAGAR,5

PALANI SAMY COLONY,11

MURUGAIYA LAYOUT,4

A K S NAGAR,20

THADAGAM ROAD,174

HUSSAIN BAI LANE,1

RAJAMMAL LAYOUT CROSS STREET,3

SOKKAMPUDUR ROAD,9

LAWLY ROAD 1,2

SUNDAPALAYAM ROAD,56

V M C COLONY,5

MUTHUKUMARASWAMY LAYOUT,5

P M SAMY COLONY 5,6

P M SAMY COLONY 2,4

ROBERTSON ROAD 1,12

NATHAN NAGAR,18

NATHAN NAGAR 1,1

G.R.D LAYOUT,2

G.V.D LAYOUT,6

ROBERTSON ROAD,8

ROBERTSON ROAD 2 (L.I.C),7

THADAGAM ROAD 5,2

NATHAN NAGAR 5,2

SUBRAMANIYA PURAM 2,7

CAPTIAN PALANISAMI LAYOUT,8

THIRUMOORTHY LAYOUT,6

LAWLY ROAD 2,8

IYAR THOTTAM,1

SAVITHRI NAGAR,21

KUPPANNA GOUNDER THOTTAM,2

UKKADAM BYPASS ROAD,20

ASHOK NAGAR,19

PRABHU NAGAR,13

ANNAI ABIRAMI NAGAR,7

KATTERI THOTTAM,4

CHETTY STREET,3

K C THOTTAM ROAD,7

K C THOTTAM SECOND STREET,5

BALAJI AVENUE,5

KATTERI THOTTAM THIRD STREET,8

KURUNJI GARDEN,27

THIRU NAGAR,7

THIRU NAGAR THIRD STREET,6

ELLIL NAGAR,2

SELVAPURAM HOUSING UNIT,20

PALLI VASAL STREET,23

AZAD NAGAR,11

UKKADAM SOUTH HOUSING UNIT,9

AZAD NAGAR 9,11

SARAMEDU NAGAR,29

AZAD NAGAR 2,3

AZAD NAGAR 5,5

BILAL ESTATE,37

ROYAL NAGAR,9

THIPPU NAGAR,10

SAVUKAR NAGAR-1,8

SAVUKAR NAGAR-2,8

KULANTHAI GOUNDER STREET,6

SAVUKAR NAGAR-3,8

SARAMEDU MAIN ROAD,11

BHARATH NAGAR-1,3

FATHIMA NAGAR,9

FATHIMA NAGAR 2,3

MADEENA NAGAR,4

M M A MARKET,29

ROSE GARDEN,23

AL AMEEN COLONY 1,12

AL AMEEN COLONY 2,12

AL AMEEN COLONY 3,11

AL AMEEN COLONY,2

ANNA COLONY,6

M C R NAGAR,14

MUTHU COLONY,3

M C R NAGAR 3,3

M C R NAGAR 2,4

M C R NAGAR 1,4

AZAD NAGAR 7,3

AZAD NAGAR 8,3

AZAD NAGAR 6,2

AZAD NAGAR 3,3

AZAD NAGAR 4,1

PONVIZHA NAGAR,22

ANNEX GARDEN,7

BYPASS ROAD,3

FATHIMA NAGAR 1,3

ABDUL KABOOR LAYOUT,7

FATHIMA NAGAR 3,4

LORRY PETTAI ROAD,18

KANNIMAR KOVIL STREET,1

BILAL NAGAR,9

ALAKANNAN STREET,10

KOUNDAYAPPAN STREET,5

AMMASSAI STREET,29

KAMARAJAR STREET CROSS 1,1

MANIAMVELLAPPAN STREET,94

K A BALASUBRAMANIYAM ROAD 7TH CROSS,2

PERIYASUPPANAN STREET,4

KALIAMMAL STREET,7

NANJAMMAL STREET,7

PERIYAR NAGAR TENVADAL STREET 2,1

CHAIRMANRAJU NAGAR,18

PERIYAR NAGAR TENVADAL STREET 1,22

ANNAI SATHYA NAGAR,8

K S ARUNACHALAM STREET,20

PERIYAR NAGAR TENVADAL STREET 3,15

CHINNA SUBBANNAN STREET,3

N S R ROAD,42

P N EAST WEST 1,7

K S RAMASAMY STREET,8

KANNAPPAPURAM SOUTH MAIN ROAD,4

GANAPATHY LAYOUT,28

RAMALINGA NAGAR CROSS 2,28

K A BALASUBRAMANIYAM ROAD,30

K A BALASUBRAMANIYAM ROAD 2ND CROSS,1

K A BALASUBRAMANIYAM ROAD 4TH CROSS,2

K A BALASUBRAMANIYAM ROAD 5TH CROSS,1

K A BALASUBRAMANIYAM ROAD 3RD CROSS,3

PALANISAMY CONOR STREET 3,3

BATHRUSAMY STREET,1

KAVERI STREET,6

KAMARAJAR STREET CROSS 7,1

KAMARAJAR STREET CROSS 2,1

KAMARAJAR STREET CROSS 5,3

KAMARAJAR STREET CROSS 4,1

PALANISAMY CONOR STREET 2,4

KAMARAJAR STREET CROSS 6,1

PALANISAMY CONAR STREET,8

KALLIAPPAN STREET,3

BADHRUSAMY STREET,10

N.S.R ROAD,30

SIVAKUMAR STREET,31

CHINNASAMY STREET,13

K G LAYOUT 4TH CROSS,2

P V KRISHNAN STREET,9

K G LAYOUT,22

KUPPUSAMY STREET,2

K G LAYOUT 3RD CROSS,12

C S RATHINASABAPATHI STREET,18

MARUTHAKKUTTY STREET,15

AROKIYASAMY STREET,1

S V RAMANI STREET,3

RAMALINGA NAGAR CROSS 4,24

KANNAKKAL STREET,4

MAYAAKKAL STREET,15

RAMALINGA NAGAR CROSS 1,5

RAMALINGA NAGAR CROSS 3,18

G K SUNDARAM STREET,8

MANIAM MARUTHAKUTTY STREET,3

MANIAM KALIAPPAN STREET,12

KRISHNAMMAL STREET,26

THIRUMALAI STREET,5

S K V  NAGAR,4

KALIAPPAN STREET,1

KALIANNAN STREET,1

KARRUPUSAMY MESTHIRI STREET,16

SABABATHI STREET,4

CHINTHAMANI NAGAR 3,9

CHINTHAMANI NAGAR 5,2

CHINTHAMANI NAGAR 1,2

K R SHANMUGAM STREET,4

KALIAMMAN KOVIL STREET,6

VISWESWARAYYA STREET 3,6

CHINTHAMANI NAGAR 4,2

NETHAJI COLONY,14

AMMAN KOVIL STREET,25

R K NAIDU LAYOUT,21

JEGAJEEVANRAM STREET,2

SUBRAMANIAPURAM STREET,11

DR RADHAKRISHNAN STREET,56

VENKETASAMY NAIDU STREET,2

MANAIYADI JOSEYAR STREET,15

PARTHASARATHI STREET,1

KOUNDASAMYNAIDU STREET 2,14

K K PUDHUR ROAD,14

KOUNDASAMYNAIDU STREET 1,4

KOUNDASAMYNAIDU STREET 3,12

ANANDHA HOUSING COLONY 2,6

NACHIMUTHU LAYOUT,16

JANAKI NAGAR,5

ANANDHA HOUSING COLONY 3,6

RAMASAMY STREET 2,2

ANANDHA HOUSING COLONY 1,2

KAMARAJ STREET,2

RAMASAMY NAIDU LAYOUT 3,1

RAMASAMY NAIDU LAYOUT 4,1

RAMALINGAM NAGAR 3,4

K K PUDHUR ROAD 2,1

VISVESWARAYYA STREET 2,5

ANANDA HOUSING UNIT,1

NATARAJ LAYOUT,3

RAMALINGAM NAGAR 5,1

K K PUDHUR ROAD 3,1

RAMALINGAM NAGAR 4,1

KRISHNAMENON ROAD,6

DR AMBEDKAR ROAD,53

VEERAPANDIA KATTABOMMAN STREET,2

THILAKAR STREET,21

MARUTHAKONAR ROAD,35

PONRAMA KONAR STREET,4

AAYIKONAR STREET,2

PALANIKONAR STREET,5

THAVASI NAGAR GREEN CITY,18

NALLAMMAL  STREET,25

JEEVA NAGAR,6

N G R KOVILMEDU STREET,3

BHAGAVATH SINGH STREET 2,2

SHENBA KONAR STREET,1

AMMASAIKONAR STREET,1

PERIYAKANIKONAR STREET,1

VELAKKONAR STREET,1

KUPPAKONAR STREET,7

BHAGAVATH SINGH STREET 3,1

BHAGAVATH SINGH STREET 1,7

PATTUKOTTAI KALYANA  SUNDHARAM STREET,6

UR GOUNDER STREET,1

AAYAKONAR STREET,4

KARIKUTTIANNAN STREET,2

AYYASAMY CHETTIAR STREET,1

RAMS NAGAR,11

MAARAN STREET,3

AISWARYA NAGAR,12

PONNUSAMY NAGAR,29

JEGADESH NAGAR,10

VEERAMATHIAMMAN KOVIL STREET,16

MUMMANAIKAR STREET,24

MARUTHAMALAI ROAD,108

SASTHIRI STREET-1,3

GOKULAM COLONY 2,11

DEVI NAGAR,9

SIRUVANI ROAD,5

SRINAGAR MAIN ROAD,11

BODI STREET,3

CHENNIMALAI ANDAVAR NAGAR,2

VEERAN STREET,1

GOGULAM COLONY MAIN ROAD,1

NANJAPPA GOUNDER STREET,6

RADHIKA  AVENUE,22

PUDHUKINARU STREET,9

SUNDARAM STREET 2,2

ANNASTREET 2,1

RANGA GOUNDER PUDHUR STREET,4

POON NAGAR,1

THIRU V K STREET,3

KANCHEE NAGAR,3

VEERASAMY STREET,7

K K COLONY,9

REVATHY NAGAR,5

SRINAGAR STREET NO 1,10

INDIRA GANDHI STREET,5

VIVEKANANDAR STREET,25

THAHUR STREET,4

RAJENDRAPRASAD STREET,3

BHARATHIDHASANAR STREET,1

PERIYARRAMASAMY STREET,1

ELANGOVADIKAL STREET,3

SRINAGAR STREET NO 4,3

SRINAGAR STREET NO 3,3

KALYANASUNDARAM STREET,2

KARUPATHAL LAYOUT,6

R G R STREET,4

RAJENDRAPRASAD STREET 1,2

YELLAPPA NAIKKAR THOTTAM,5

SUNDARAM STREET 1,1

P N PUDUR STREET,2

THIRUNAVUKARASU  STREET,3

KANGAVAR STREET,1

SRINAGAR STREET NO 2,2

CLASSIC DELUX RIGHT HOUSE,1

MULLAI NAGAR (SLUM),1

SRI RAM LAYOUT,1

NARAYANA GURU MISSION ROAD,16

BHARATHI PARK ROAD CROSS - 2,13

BHARATHI PARK ROAD CROSS - 3,12

BHARATHI PARK ROAD CROSS - 5,15

BHARATHI PARK ROAD CROSS - 8,15

NEW NESAVALAR COLONY,26

BHARATHI PARK MAIN ROAD,35

V.G.R.PURAM,7

CHINNA SUBBANNAN LAYOUT,4

ALAGESAN MAIN ROAD,34

BHARATHI PARK MAIN ROAD - 2,13

NESAVALAR COLONY,2

RAJA ANNAMALAI ROAD,21

RAMANNA LAYOUT 4,3

SIRUVANI NAGAR,1

RAMALINGAM COLONY,17

RAMANNA LAYOUT 3,3

RAJU ROAD,7

DR.RAJENDRA PRASAD ROAD,11

BHARATHI PARK ROAD CROSS - 6,25

RAMALINGAM NAGAR,2

BHARATHI PARK ROAD CROSS - 4,17

BHARATHI PARK ROAD CROSS - 1,8

S.R.P NAGAR,4

RAGUPATHY LAYOUT - 2,2

RAGUPATHY LAYOUT - 1,1

RAMANNA LAYOUT 2,2

RAMANNA LAYOUT 1,2

V.V.C LAYOUT,8

SASTHRI ROAD,8

GOKULAM COLONY 9,2

COWLY BROWN ROAD,4

RANGASAMY ROAD,3

TNAU INTERNAL ROAD,147

PONNUSAMY ROAD,2

THIRUVEKADAM ROAD,1

S.R.P.NAGAR 2,3

THADAGAM LINK ROAD,2

ALAGESAN ROAD - 2,12

BHARATHI PARK ROAD CROSS - 7,11

SUBBAIYAN STREET,5

A.K.NAGAR,1

THONDAMUTHUR ROAD,46

BASHIKARRALU ROAD,28

VENKATASAMY ROAD,9

GOULIBROWN ROAD,35

PERIYASAMY ROAD,15

RAMACHANDIRA ROAD,23

SUGARCANE ROAD,33

JEEVANANTHAM STREET,28

THIRUVALLUVAR STREET 1,3

BHARATHIYAR STREET 2,3

GOKULAM COLONY 3,6

MASANIAMMAN KOVIL STREET,2

SASTHIRI STREET 2,4

GOKULAM COLONY 4,14

GOWTHAM COLONY,6

KUMARASAMY COLONY,3

SASTHIRI STREET 4,1

GOKULAM COLONY,21

GOKULAM COLONY 5,2

GOKULAM COLONY 6,6

GOKULAM COLONY 1,2

GOKULAM COLONY 8,2

SASTHIRI STREET 1,3

THOPPU THOTTAM,4

NAICKER THOTTAM,33

PATTAPPAN SANTHU,1

PECHIANNAN SANTHU,2

KUPPANNAN SANTHU,2

GCT INTERNAL ROAD,5

FOREST COLLEGE INTERNAL ROAD,53

PANAIMARATHUR ROAD,12

THIYAGI KUMAREN STREET,4

BHARATHIYAR STREET 1,16

RAJAN COLONY,7

THILAGAR STREET 2,1

THILAGAR STREET 1,12

THIRUVALLUVAR STREET 2,2

NEHRUJI STREET,3

INDIRAGANDHI STREET ( EAST ),2

NEHRUJI STREET (WEST),1

INDIRAGANDHI STREET,2

INDIRAGANDHI STREET ( WEST ),1

KALAYANASUNDARANAR STREET,2

BALAJI GARDEN,3

NEW ANAND NAGAR STREET 1,1

GOPAL THOTTAM,2

AJAY MOHARJE STREET,5

BAGAVATHSINGH STREET,2

THIYAGI KULLAPPAN STREET,6

THIRU.VENKETASAMY ROAD,33

PUNNIYAKODI STREET,11

VENKETACHALLAM ROAD,14

D.B.ROAD,63

WEST SAMBANDAM ROAD,11

NANNERI KAZHAGA 2ND CROSS STREET,1

AZAD ROAD,15

FATHER RANDY ROAD,5

SAINT MUNUSAMY STREET,8

AROKYASAMY STREET,7

VENKATARAMANA ROAD,3

LOGAMANIYA STREET,5

VINCENT COLONY ROAD,8

LANGAR KANA ROAD,7

SRINIVASA RAGAVAN ROAD,4

VLC ROAD,1

MAKALIAMMAN KOVIL STREET,1

MECRICAR ROAD,4

SIVASUBRAMANIYAM ROAD,10

RAMACHANDRA ROAD,2

SRI SHANMUGAM STREET,4

SIR C V RAMAN ROAD,2

V.O.C STREET,4

VENKATAKRISHNA ROAD,5

GURUGOVINDASINGH ROAD,6

SAMBANDAM ROAD,4

SIR.SHANMUGAM ROAD,48

PONNURANGAM ROAD,34

AROKIYASAMY ROAD,11

KANNUSAMY ROAD,14

LOGAMANIA STREET,8

